ID_CZAS;ID_MIEJSCE;ID_ZMIENNA;ID_JEDNOSTKA_MIARY;WARTOŚĆ;id_czas_pk;rok;kwartal;kwartal_nazwa;miesiac;miesiac_nazwa;id_jednostka_miary_pk;nazwa_jednostki_miary;symbol_jednostki_miary;opis_jednostki_miary;mnoznik_jednostki_miary;id_miejsce_pk;region;odcinek_granicy;przejście_graniczne;id_zmienna_pk;nazwa_zmiennej;rodzaj_zmiennej;opis
204;4;1;1;38 196;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;4;południowo-wschodni;Ukraina;Hrebenne – Rawa Ruska;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;5;1;1;71 274;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;5;południowo-wschodni;Ukraina;Korczowa – Krakowiec;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;6;1;1;16 694;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;6;południowo-wschodni;Ukraina;Krościenko – Smolnica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;7;1;1;5916;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;7;południowo-wschodni;Ukraina;Malhowice – Niżankowice;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;8;1;1;73269;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;8;południowo-wschodni;Ukraina;Medyka – Szeginie;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;9;1;1;31557;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;9;południowo-wschodni;Ukraina;Zosin – Ustiług;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;10;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;10;wschodni;Białoruś;Bobrowniki – Bierestowica;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;11;1;1;42723;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;11;wschodni;Białoruś;Kukuryki – Kozłowiczy;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;12;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;12;wschodni;Białoruś;Kuźnica – Bruzgi;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;13;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;13;wschodni;Białoruś;Lipszczany – Sofijewo *);1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;14;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;14;wschodni;Białoruś;Połowce – Pieszczatka;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;15;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;15;wschodni;Białoruś;Sławatycze – Domaczewo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;16;1;1;42013;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;16;wschodni;Białoruś;Terespol – Brześć;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;17;1;1;2984;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;17;północny;Rosja;Bezledy – Bagrationowsk;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;18;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;18;północny;Rosja;Gołdap – Gusiew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;19;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;19;północny;Rosja;Gronowo – Mamonowo;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;20;1;1;17136;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;20;północny;Rosja;Grzechotki – Mamonowo II;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
204;21;1;1;0;204;2024;2;Kwartał II;4;kwiecień;1;sztuka;szt.;liczba pojazdów;1;21;północny;Rosja;Michałkowo – Żeleznodorożnyj ;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;1;1;1;19313;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;1;południowo-wschodni;Ukraina;Budomierz – Hruszew;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;2;1;1;19237;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;2;południowo-wschodni;Ukraina;Dołhobyczów – Uhrynów;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;3;1;1;36799;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;3;południowo-wschodni;Ukraina;Dorohusk – Jagodzin;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;4;1;1;40065;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;4;południowo-wschodni;Ukraina;Hrebenne – Rawa Ruska;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
205;5;1;1;70257;205;2024;2;Kwartał II;5;maj;1;sztuka;szt.;liczba pojazdów;1;5;południowo-wschodni;Ukraina;Korczowa – Krakowiec;1;ruch graniczny;liczbowa;ruch graniczny w drogowych przejściach granicznych
